Epoch,Training Loss,Validation Loss,Improvement,Datetime
1400,19.203773207962513,41.806732192635536,True,22/04/2022 23:45:57
1401,19.229954943060875,42.87751051783562,False,22/04/2022 23:46:05
1402,20.787722498178482,40.95545341074467,True,22/04/2022 23:46:11
1403,23.26910474151373,43.62407085299492,False,22/04/2022 23:46:17
1404,20.033429332077503,40.68551466614008,True,22/04/2022 23:46:23
1405,25.26331126689911,40.22186878323555,True,22/04/2022 23:46:30
1406,19.942651242017746,39.148319751024246,True,22/04/2022 23:46:36
1407,23.03757368400693,36.391585394740105,True,22/04/2022 23:46:43
1408,20.562973104417324,38.23119726032019,False,22/04/2022 23:46:49
1409,20.842700637876987,39.02953764796257,False,22/04/2022 23:46:56
1410,23.15016822144389,41.536632023751736,False,22/04/2022 23:47:02
1411,22.472949653863907,40.63456542044878,False,22/04/2022 23:47:08
1412,20.4906486608088,40.04666616022587,False,22/04/2022 23:47:14
1413,21.64888908714056,38.86908379197121,False,22/04/2022 23:47:20
1414,22.845294650644064,39.70556638389826,False,22/04/2022 23:47:27
1415,22.218205835670233,45.73315750807524,False,22/04/2022 23:47:35
1416,25.714666716754436,40.94398154318333,False,22/04/2022 23:47:43
1417,22.201921060681343,41.46326605975628,False,22/04/2022 23:47:49
1418,21.89756828546524,41.65411424636841,False,22/04/2022 23:47:56
1419,20.633441250771284,35.648058235645294,True,22/04/2022 23:48:02
1420,22.771214865148067,39.491023786365986,False,22/04/2022 23:48:09
1421,22.89511339366436,36.87762938439846,False,22/04/2022 23:48:16
1422,22.94585621356964,43.40790396928787,False,22/04/2022 23:48:25
1423,19.58038280531764,43.94367192685604,False,22/04/2022 23:48:31
1424,21.215379796922207,42.28385549783707,False,22/04/2022 23:48:37
1425,22.852567795664072,39.653547793626785,False,22/04/2022 23:48:44
1426,19.078396797180176,42.64231739193201,False,22/04/2022 23:48:51
1427,23.49520419538021,42.931893207132816,False,22/04/2022 23:48:59
1428,22.484287679195404,43.926900044083595,False,22/04/2022 23:49:07
1429,21.256835982203484,43.26956491172314,False,22/04/2022 23:49:14
1430,21.778128813952208,38.680951952934265,False,22/04/2022 23:49:21
1431,20.78604766726494,42.25004929304123,False,22/04/2022 23:49:27
1432,19.99134997278452,40.99087402224541,False,22/04/2022 23:49:34
1433,21.95051357895136,40.95591387152672,False,22/04/2022 23:49:40
1434,19.32540788501501,40.40854725241661,False,22/04/2022 23:49:46
1435,20.786867402493954,39.82302216440439,False,22/04/2022 23:49:53
1436,24.750645987689495,38.36122763156891,False,22/04/2022 23:49:59
1437,19.178230974823236,42.15413396805525,False,22/04/2022 23:50:05
1438,22.45621345937252,46.01218585669994,False,22/04/2022 23:50:11
1439,22.87199403718114,40.903054900467396,False,22/04/2022 23:50:17
1440,19.97043402493,38.24612411111593,False,22/04/2022 23:50:24
1441,21.801073633134365,35.99318366497755,False,22/04/2022 23:50:30
1442,20.67970361560583,42.31889635324478,False,22/04/2022 23:50:36
1443,22.272247675806284,39.84171286225319,False,22/04/2022 23:50:42
1444,19.328062497079372,38.33200551569462,False,22/04/2022 23:50:49
1445,21.920546296983957,40.53312798589468,False,22/04/2022 23:50:55
1446,20.366668298840523,40.646581411361694,False,22/04/2022 23:51:01
1447,20.016769617795944,35.51631064713001,True,22/04/2022 23:51:08
1448,19.118772882968187,36.43340265005827,False,22/04/2022 23:51:14
1449,18.88076924532652,38.04061009734869,False,22/04/2022 23:51:20
1450,19.437220588326454,37.51389243453741,False,22/04/2022 23:51:26
1451,21.498443838208914,40.91768576949835,False,22/04/2022 23:51:32
1452,21.629318665713072,44.40739216655493,False,22/04/2022 23:51:39
1453,21.284408397972584,37.23271469026804,False,22/04/2022 23:51:45
1454,22.91836402565241,33.70635987073183,True,22/04/2022 23:51:51
1455,23.475757129490376,40.519740879535675,False,22/04/2022 23:51:57
1456,23.394636891782284,40.61616776883602,False,22/04/2022 23:52:03
1457,20.494450576603413,36.29216030240059,False,22/04/2022 23:52:10
1458,22.004186168313026,36.2782806456089,False,22/04/2022 23:52:16
1459,22.079182624816895,43.97467563301325,False,22/04/2022 23:52:22
1460,22.694852627813816,40.68137053400278,False,22/04/2022 23:52:28
1461,20.876686207950115,37.47057482600212,False,22/04/2022 23:52:34
1462,26.372959721833467,38.28272479772568,False,22/04/2022 23:52:41
1463,18.796716541051865,41.01809026300907,False,22/04/2022 23:52:47
1464,25.019966032356024,34.7406040430069,False,22/04/2022 23:52:53
1465,22.82990924268961,35.722840040922165,False,22/04/2022 23:52:59
1466,19.51044522970915,37.34696667641401,False,22/04/2022 23:53:06
1467,23.01009514927864,36.832075260579586,False,22/04/2022 23:53:12
1468,20.401849288493395,43.80403404682875,False,22/04/2022 23:53:18
1469,17.832515086978674,40.39984681457281,False,22/04/2022 23:53:25
1470,22.227264158427715,44.85914146900177,False,22/04/2022 23:53:31
1471,19.721250221133232,40.65071226656437,False,22/04/2022 23:53:37
1472,20.69748718291521,41.02721890062094,False,22/04/2022 23:53:43
1473,23.19346909970045,44.41563830524683,False,22/04/2022 23:53:50
1474,23.121334210038185,40.212868228554726,False,22/04/2022 23:53:56
1475,22.572458289563656,42.2231455296278,False,22/04/2022 23:54:02
1476,22.29977773874998,39.730947367846966,False,22/04/2022 23:54:08
1477,22.098736375570297,36.823048405349255,False,22/04/2022 23:54:15
1478,23.022089824080467,43.34796794503927,False,22/04/2022 23:54:21
1479,21.776512883603573,40.56327627599239,False,22/04/2022 23:54:27
1480,21.059647992253304,43.20580303668976,False,22/04/2022 23:54:33
